DATE,出口值到中國大陸,出口值到日本,出口值到美國,出口值到新加坡,出口值到大韓民國,出口值到德國,出口值到英國
2009,54767030.00,14606566.00,23619884.00,8698501.00,7366426.00,4721489.00,2984792.00
2010,77886868.00,18445058.00,31566001.00,12198128.00,10765285.00,6548996.00,3641361.00
2011,85122327.00,19120126.00,36450635.00,16978012.00,12485955.00,6935226.00,4628186.00
2012,82592334.00,19517937.00,33119861.00,20198583.00,11984379.00,5684520.00,5070797.00
2013,84122247.00,19391110.00,32630181.00,19609087.00,12223186.00,5670747.00,4330238.00
2014,84709050.00,20129137.00,35033279.00,20678284.00,12857318.00,6207421.00,4233725.00
2015,73270118.00,19556522.00,34448479.00,17396074.00,12772060.00,5981585.00,3905034.00
2016,73732229.00,19470701.00,33396311.00,16147227.00,12531227.00,5896890.00,3642856.00
2017,88745404.00,20573772.00,36772593.00,17619613.00,14415736.00,6428811.00,3755981.00
2018,96497850.00,22800957.00,39490380.00,17324072.00,15738931.00,7058113.00,3858019.00
2019,91789357.00,23278741.00,46247108.00,18183980.00,16917052.00,6522200.00,3575952.00
2020,102446179.00,23398254.00,50549921.00,19083955.00,15141335.00,6039153.00,3344234.00
